78|Nungambakkam Nibbles|Nungambakkam|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
79|Alwarpet Americano|Alwarpet|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
80|Egmore Express|Egmore|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
81|Kodambakkam Coffee|Kodambakkam|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
82|Porur Paradise|Porur|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
83|HITEC City Hub|Madhapur|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
84|Gachibowli Grind|Gachibowli|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
85|Kondapur Kafé|Kondapur|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
86|Kukatpally Corner|Kukatpally|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
87|Secunderabad Sips|Secunderabad|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
88|Ameerpet Aroma|Ameerpet|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
89|LB Nagar Lattes|LB Nagar|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
90|Miyapur Mocha|Miyapur|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
91|Dilsukhnagar Delights|Dilsukhnagar|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
92|Begumpet Beans|Begumpet|Hyderabad|Hyderabad|Telangana|2025-07-28 13:55:04|2025-07-28 13:55:04
93|Hinjewadi Heights|Hinjewadi|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
94|Aundh Aroma|Aundh|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
95|Baner Boulevard|Baner|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
96|Kalyani Nagar Kafé|Kalyani Nagar|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
97|Viman Nagar Vibes|Viman Nagar|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
98|Kothrud Corner|Kothrud|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
99|Warje Wings|Warje|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
100|Hadapsar Hangout|Hadapsar|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
101|Magarpatta Mocha|Hadapsar|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
102|Wakad Wonder|Wakad|Pune|Pune|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
103|New Market Nibbles|New Market|Kolkata|Kolkata|West Bengal|2025-07-28 13:55:04|2025-07-28 13:55:04
104|College Street Coffee|College Street|Kolkata|Kolkata|West Bengal|2025-07-28 13:55:04|2025-07-28 13:55:04
105|Gariahat Grind|Gariahat|Kolkata|Kolkata|West Bengal|2025-07-28 13:55:04|2025-07-28 13:55:04
106|Ballygunge Beans|Ballygunge|Kolkata|Kolkata|West Bengal|2025-07-28 13:55:04|2025-07-28 13:55:04
107|Tollygunge Treats|Tollygunge|Kolkata|Kolkata|West Bengal|2025-07-28 13:55:04|2025-07-28 13:55:04
108|Sector 17 Sips|Sector 17|Chandigarh|Chandigarh|Chandigarh|2025-07-28 13:55:04|2025-07-28 13:55:04
109|Phase 10 Paradise|Phase 10|Mohali|Mohali|Punjab|2025-07-28 13:55:04|2025-07-28 13:55:04
110|Zirakpur Zone|Zirakpur|Mohali|Zirakpur|Punjab|2025-07-28 13:55:04|2025-07-28 13:55:04
111|Model Town Mocha|Model Town|Ludhiana|Ludhiana|Punjab|2025-07-28 13:55:04|2025-07-28 13:55:04
112|Civil Lines Coffee|Civil Lines|Ludhiana|Ludhiana|Punjab|2025-07-28 13:55:04|2025-07-28 13:55:04
113|Gomti Nagar Grind|Gomti Nagar|Lucknow|Lucknow|Uttar Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
114|Hazratganj Hangout|Hazratganj|Lucknow|Lucknow|Uttar Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
115|Alambagh Aroma|Alambagh|Lucknow|Lucknow|Uttar Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
116|Civil Lines Café|Civil Lines|Kanpur Nagar|Kanpur|Uttar Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
117|Mall Road Mocha|Mall Road|Kanpur Nagar|Kanpur|Uttar Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
118|MG Road Magic|MG Road|Indore|Indore|Madhya Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
119|Vijay Nagar Vibes|Vijay Nagar|Indore|Indore|Madhya Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
120|Sadar Bazaar Sips|Sadar Bazaar|Nagpur|Nagpur|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
121|Dharampeth Delights|Dharampeth|Nagpur|Nagpur|Maharashtra|2025-07-28 13:55:04|2025-07-28 13:55:04
122|Station Road Roast|Station Road|Bhopal|Bhopal|Madhya Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
123|New Market Nibbles|New Market|Bhopal|Bhopal|Madhya Pradesh|2025-07-28 13:55:04|2025-07-28 13:55:04
124|Lalbagh Lattes|Lalbagh|Patna|Patna|Bihar|2025-07-28 13:55:04|2025-07-28 13:55:04
125|Boring Road Beans|Boring Road|Patna|Patna|Bihar|2025-07-28 13:55:04|2025-07-28 13:55:04
126|Park Street Paradise|Park Street|Bhubaneswar|Bhubaneswar|Odisha|2025-07-28 13:55:04|2025-07-28 13:55:04
127|Master Canteen Mocha|Master Canteen|Bhubaneswar|Bhubaneswar|Odisha|2025-07-28 13:55:04|2025-07-28 13:55:04
128|Brew Beans Cafe|Bandra West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-29 05:33:50|2025-07-29 05:33:50
129|Coffee Culture|Koramangala|Bangalore Urban|Bangalore|Karnataka|2025-07-29 05:33:50|2025-07-29 05:33:50
131|Chennai Chai House|T. Nagar|Chennai|Chennai|Tamil Nadu|2025-07-29 05:33:50|2025-07-29 05:33:50
132|Delhi Delight Cafe|Connaught Place|New Delhi|Delhi|Delhi|2025-07-29 05:33:50|2025-07-29 05:33:50
133|Pune Perks|Koregaon Park|Pune|Pune|Maharashtra|2025-07-29 05:33:50|2025-07-29 05:33:50
134|Kolkata Coffee Corner|Park Street|Kolkata|Kolkata|West Bengal|2025-07-29 05:33:50|2025-07-29 05:33:50
135|Ahmedabad Aroma|Satellite|Ahmedabad|Ahmedabad|Gujarat|2025-07-29 05:33:50|2025-07-29 05:33:50
